Rank,Institution,Count,Faculty
1,► Carnegie Mellon University,17.3,158
2,► Massachusetts Institute of Technology,12.9,89
3,► Univ. of Illinois at Urbana-Champaign,11.9,100
4,► Stanford University,11.2,67
5,► University of California - Berkeley,10.6,92
6,► University of California - San Diego,10.4,98
7,► University of Washington,9.5,67
8,► Cornell University,9.3,74
8,► University of Michigan,9.3,77
10,► University of Maryland - College Park,7.9,83
11,► Georgia Institute of Technology,7.6,87
12,► University of Wisconsin - Madison,6.8,54
13,► Columbia University,6.5,49
14,► Northeastern University,6.3,65
15,► University of California - Los Angeles,6.1,43
16,► University of Pennsylvania,5.9,55
17,► University of Texas at Austin,5.6,45
18,► New York University,5.3,55
19,► Purdue University,5.1,54
20,► University of Massachusetts Amherst,5,55
21,► Princeton University,4.9,42
21,► University of Southern California,4.9,40
23,► Rutgers University,4.6,53
24,► University of California - Irvine,4.4,63
25,► University of California - Santa Barbara,4.3,34
26,► Harvard University,4.1,29
26,► Stony Brook University,4.1,47
28,► Northwestern University,4,43
28,► Pennsylvania State University,4,43
30,► Duke University,3.9,33
30,► University of Colorado Boulder,3.9,67
32,► Ohio State University,3.8,38
32,► Texas A&M University,3.8,46
32,► University of Chicago,3.8,36
35,► University of Utah,3.6,44
36,► University of California - Riverside,3.4,45
36,► University of Illinois at Chicago,3.4,44
38,► Brown University,3.3,29
38,► University of Minnesota,3.3,40
38,► University of Virginia,3.3,36
38,► Yale University,3.3,32
42,► Boston University,3.1,30
43,► Indiana University,3,54
43,► University of California - Santa Cruz,3,40
43,► University of North Carolina,3,26
46,► Johns Hopkins University,2.9,29
47,► Oregon State University,2.8,28
47,► University of California - Davis,2.8,25
47,► University of Pittsburgh,2.8,37
47,► Virginia Tech,2.8,40
51,► University at Buffalo,2.7,34
51,► University of Central Florida,2.7,37
53,► Rice University,2.6,21
54,► Arizona State University,2.5,28
54,► North Carolina State University,2.5,33
54,► University of Texas at Dallas,2.5,38
57,► George Mason University,2.2,25
57,► University of Rochester,2.2,21
57,► Washington University in St. Louis,2.2,22
60,► Michigan State University,2.1,22
60,► University of Texas at Arlington,2.1,22
62,► University of California - Merced,2,13
62,► University of Notre Dame,2,23
64,► Florida State University,1.9,17
64,► Rochester Institute of Technology,1.9,34
64,► TTI Chicago,1.9,12
64,► University of Florida,1.9,24
68,► Binghamton University,1.8,19
68,► California Institute of Technology,1.8,14
68,► University of Iowa,1.8,13
71,► Dartmouth College,1.7,12
71,► Stevens Institute of Technology,1.7,18
71,► University of Connecticut,1.7,15
71,► University of Tennessee,1.7,15
71,► Worcester Polytechnic Institute,1.7,21
76,► Case Western Reserve University,1.6,13
76,► College of William and Mary,1.6,10
76,► Colorado School of Mines,1.6,10
76,► Georgetown University,1.6,14
76,► Iowa State University,1.6,18
76,► NJIT,1.6,15
76,► Rensselaer Polytechnic Institute,1.6,12
76,► Tufts University,1.6,14
76,► University of Arizona,1.6,19
76,► University of Houston,1.6,15
86,► Brigham Young University,1.5,18
86,► CUNY,1.5,21
86,► Clemson University,1.5,21
86,► George Washington University,1.5,14
86,► Temple University,1.5,12
86,► Univ. of Maryland - Baltimore County,1.5,17
86,► University of Massachusetts Lowell,1.5,18
86,► University of Oregon,1.5,17
86,► University of South Carolina,1.5,13
86,► Washington State University,1.5,14
96,► Emory University,1.4,13
96,► Illinois Institute of Technology,1.4,15
96,► Syracuse University,1.4,15
96,► University of Delaware,1.4,11
96,► University of Georgia,1.4,9
96,► University of Kentucky,1.4,10
96,► University of Nebraska,1.4,15
96,► University of New Mexico,1.4,12
